name,Description
water vapor,water substance in vapor (gaseous) form; one of the most important of all constituents of the atmosphere.
waterbody encircling a palsa,a water-filled depression surrounding a palsa.
watermelon snow,snow with red algae growing on it.
wave ogives,"ogives that show some vertical relief on a glacier; usually the dark bands are in the hollows and the light bands are in the ridges; form at the base of steep, narrow ice falls."
weather,"the state of the atmosphere, mainly with respect to its effects upon life and human activities; distinguished from climate by focusing on short-term (minutes to about 15 days) variations of the atmosphere state."
weathered ice,glacier ice that has been exposed to sun or warm wind so that the boundaries between ice crystals are partly disintegrated.
weathering,the processes of ablation and accumulation which gradually eliminate irregularities in an ice surface.
wedge ice,ice occurring in an ice wedge.
well-bonded permafrost,ice-bearing permafrost in which all the soil particles are held together by ice.
westerlies,"the dominant west-to-east motion of the atmosphere, centered over the middle latitudes (35 to 65 degrees latitude) of both hemispheres."
whiteout,"a condition in which daylight is diffused by multiple reflections between a snow surface and an overcast sky; contrasts vanish, and the observer is unable to distinguish the horizon or any snow surface feature."
World Meteorological Organization,created by the World Meteorological Convention and recognized as a special agency of the United Nations in 1951; the WMO consists of more than 185 member countries; and facilitates international cooperation in all aspects of meteorology.
World Meteorological Organization Program,"any scientific project (field experiment, inter-comparison, etc.) internationally performed under the aegis of the World Meteorological Organization."
World Weather Watch,"the world-wide, coordinated system of meteorological facilities and services provided by World Meteorological Organization members for the purpose of ensuring that all members obtain the meteorological information required both for operational work and for research; the essential elements of the WWW are: the global observing system, the global data-processing system, and the global telecommunication system."
yedoma,"A type of Pleistocene-age (formed 1.8 million to 10,000 years before present) permafrost that contains a significant amount of organic material with ice content of 50 to 90 percent by volume. Thawing yedoma is a significant source of atmospheric methane."
young ice,a general category of ice that represents the transition between nilas and first-year ice; usually 10 to 30 centimeters (4 to 12 inches) thick.
Young's Modulus,"the ratio of increase in stress acting on a test specimen, to the resulting increase in strain, under constant transverse stress."
zero curtain,"the persistence of a nearly constant temperature, very close to the freezing point, during annual freezing (and occasionally during thawing) of the active layer."
zone of gas-hydrate stability,that portion of the subsurface where the conditions of temperature and pressure are suitable for the formation and preservation of gas hydrates.
